# map_input.txt — simple rectangular room 60x60 cm, height 20 cm,
# with one internal pillar at x=20..25, y=20..25.
# Scenario: basic test — no inaccessible regions.
#
# Format: x,y,z,status  (status 1 = occupied)

# --- Floor (z=0) ---
0,0,0,1
0,5,0,1
0,10,0,1
0,15,0,1
0,20,0,1
0,25,0,1
0,30,0,1
0,35,0,1
0,40,0,1
0,45,0,1
0,50,0,1
0,55,0,1
0,60,0,1
5,0,0,1
5,5,0,1
5,10,0,1
5,15,0,1
5,20,0,1
5,25,0,1
5,30,0,1
5,35,0,1
5,40,0,1
5,45,0,1
5,50,0,1
5,55,0,1
5,60,0,1
10,0,0,1
10,5,0,1
10,10,0,1
10,15,0,1
10,20,0,1
10,25,0,1
10,30,0,1
10,35,0,1
10,40,0,1
10,45,0,1
10,50,0,1
10,55,0,1
10,60,0,1
15,0,0,1
15,5,0,1
15,10,0,1
15,15,0,1
15,20,0,1
15,25,0,1
15,30,0,1
15,35,0,1
15,40,0,1
15,45,0,1
15,50,0,1
15,55,0,1
15,60,0,1
20,0,0,1
20,5,0,1
20,10,0,1
20,15,0,1
20,20,0,1
20,25,0,1
20,30,0,1
20,35,0,1
20,40,0,1
20,45,0,1
20,50,0,1
20,55,0,1
20,60,0,1
25,0,0,1
25,5,0,1
25,10,0,1
25,15,0,1
25,20,0,1
25,25,0,1
25,30,0,1
25,35,0,1
25,40,0,1
25,45,0,1
25,50,0,1
25,55,0,1
25,60,0,1
30,0,0,1
30,5,0,1
30,10,0,1
30,15,0,1
30,20,0,1
30,25,0,1
30,30,0,1
30,35,0,1
30,40,0,1
30,45,0,1
30,50,0,1
30,55,0,1
30,60,0,1
35,0,0,1
35,5,0,1
35,10,0,1
35,15,0,1
35,20,0,1
35,25,0,1
35,30,0,1
35,35,0,1
35,40,0,1
35,45,0,1
35,50,0,1
35,55,0,1
35,60,0,1
40,0,0,1
40,5,0,1
40,10,0,1
40,15,0,1
40,20,0,1
40,25,0,1
40,30,0,1
40,35,0,1
40,40,0,1
40,45,0,1
40,50,0,1
40,55,0,1
40,60,0,1
45,0,0,1
45,5,0,1
45,10,0,1
45,15,0,1
45,20,0,1
45,25,0,1
45,30,0,1
45,35,0,1
45,40,0,1
45,45,0,1
45,50,0,1
45,55,0,1
45,60,0,1
50,0,0,1
50,5,0,1
50,10,0,1
50,15,0,1
50,20,0,1
50,25,0,1
50,30,0,1
50,35,0,1
50,40,0,1
50,45,0,1
50,50,0,1
50,55,0,1
50,60,0,1
55,0,0,1
55,5,0,1
55,10,0,1
55,15,0,1
55,20,0,1
55,25,0,1
55,30,0,1
55,35,0,1
55,40,0,1
55,45,0,1
55,50,0,1
55,55,0,1
55,60,0,1
60,0,0,1
60,5,0,1
60,10,0,1
60,15,0,1
60,20,0,1
60,25,0,1
60,30,0,1
60,35,0,1
60,40,0,1
60,45,0,1
60,50,0,1
60,55,0,1
60,60,0,1

# --- Ceiling (z=20) ---
0,0,20,1
0,5,20,1
0,10,20,1
0,15,20,1
0,20,20,1
0,25,20,1
0,30,20,1
0,35,20,1
0,40,20,1
0,45,20,1
0,50,20,1
0,55,20,1
0,60,20,1
5,0,20,1
5,5,20,1
5,10,20,1
5,15,20,1
5,20,20,1
5,25,20,1
5,30,20,1
5,35,20,1
5,40,20,1
5,45,20,1
5,50,20,1
5,55,20,1
5,60,20,1
10,0,20,1
10,5,20,1
10,10,20,1
10,15,20,1
10,20,20,1
10,25,20,1
10,30,20,1
10,35,20,1
10,40,20,1
10,45,20,1
10,50,20,1
10,55,20,1
10,60,20,1
15,0,20,1
15,5,20,1
15,10,20,1
15,15,20,1
15,20,20,1
15,25,20,1
15,30,20,1
15,35,20,1
15,40,20,1
15,45,20,1
15,50,20,1
15,55,20,1
15,60,20,1
20,0,20,1
20,5,20,1
20,10,20,1
20,15,20,1
20,20,20,1
20,25,20,1
20,30,20,1
20,35,20,1
20,40,20,1
20,45,20,1
20,50,20,1
20,55,20,1
20,60,20,1
25,0,20,1
25,5,20,1
25,10,20,1
25,15,20,1
25,20,20,1
25,25,20,1
25,30,20,1
25,35,20,1
25,40,20,1
25,45,20,1
25,50,20,1
25,55,20,1
25,60,20,1
30,0,20,1
30,5,20,1
30,10,20,1
30,15,20,1
30,20,20,1
30,25,20,1
30,30,20,1
30,35,20,1
30,40,20,1
30,45,20,1
30,50,20,1
30,55,20,1
30,60,20,1
35,0,20,1
35,5,20,1
35,10,20,1
