# map_input.txt — building with inaccessible sealed room
# 80x50 cm, height 18 cm.
# A solid internal wall at x=40 divides the building:
#   Left half  x=0..40  — accessible (drone starts here).
#   Right half x=40..80 — fully sealed, no door.
# Scenario: tests that sealed region appears as -1 in output.
#
# Format: x,y,z,status  (status 1 = occupied)

# --- Floor (z=0) ---
0,0,0,1
0,5,0,1
0,10,0,1
0,15,0,1
0,20,0,1
0,25,0,1
0,30,0,1
0,35,0,1
0,40,0,1
0,45,0,1
0,50,0,1
5,0,0,1
5,5,0,1
5,10,0,1
5,15,0,1
5,20,0,1
5,25,0,1
5,30,0,1
5,35,0,1
5,40,0,1
5,45,0,1
5,50,0,1
10,0,0,1
10,5,0,1
10,10,0,1
10,15,0,1
10,20,0,1
10,25,0,1
10,30,0,1
10,35,0,1
10,40,0,1
10,45,0,1
10,50,0,1
15,0,0,1
15,5,0,1
15,10,0,1
15,15,0,1
15,20,0,1
15,25,0,1
15,30,0,1
15,35,0,1
15,40,0,1
15,45,0,1
15,50,0,1
20,0,0,1
20,5,0,1
20,10,0,1
20,15,0,1
20,20,0,1
20,25,0,1
20,30,0,1
20,35,0,1
20,40,0,1
20,45,0,1
20,50,0,1
25,0,0,1
25,5,0,1
25,10,0,1
25,15,0,1
25,20,0,1
25,25,0,1
25,30,0,1
25,35,0,1
25,40,0,1
25,45,0,1
25,50,0,1
30,0,0,1
30,5,0,1
30,10,0,1
30,15,0,1
30,20,0,1
30,25,0,1
30,30,0,1
30,35,0,1
30,40,0,1
30,45,0,1
30,50,0,1
35,0,0,1
35,5,0,1
35,10,0,1
35,15,0,1
35,20,0,1
35,25,0,1
35,30,0,1
35,35,0,1
35,40,0,1
35,45,0,1
35,50,0,1
40,0,0,1
40,5,0,1
40,10,0,1
40,15,0,1
40,20,0,1
40,25,0,1
40,30,0,1
40,35,0,1
40,40,0,1
40,45,0,1
40,50,0,1
45,0,0,1
45,5,0,1
45,10,0,1
45,15,0,1
45,20,0,1
45,25,0,1
45,30,0,1
45,35,0,1
45,40,0,1
45,45,0,1
45,50,0,1
50,0,0,1
50,5,0,1
50,10,0,1
50,15,0,1
50,20,0,1
50,25,0,1
50,30,0,1
50,35,0,1
50,40,0,1
50,45,0,1
50,50,0,1
55,0,0,1
55,5,0,1
55,10,0,1
55,15,0,1
55,20,0,1
55,25,0,1
55,30,0,1
55,35,0,1
55,40,0,1
55,45,0,1
55,50,0,1
60,0,0,1
60,5,0,1
60,10,0,1
60,15,0,1
60,20,0,1
60,25,0,1
60,30,0,1
60,35,0,1
60,40,0,1
60,45,0,1
60,50,0,1
65,0,0,1
65,5,0,1
65,10,0,1
65,15,0,1
65,20,0,1
65,25,0,1
65,30,0,1
65,35,0,1
65,40,0,1
65,45,0,1
65,50,0,1
70,0,0,1
70,5,0,1
70,10,0,1
70,15,0,1
70,20,0,1
70,25,0,1
70,30,0,1
70,35,0,1
70,40,0,1
70,45,0,1
70,50,0,1
75,0,0,1
75,5,0,1
75,10,0,1
75,15,0,1
75,20,0,1
75,25,0,1
75,30,0,1
75,35,0,1
75,40,0,1
75,45,0,1
75,50,0,1
80,0,0,1
80,5,0,1
80,10,0,1
80,15,0,1
80,20,0,1
80,25,0,1
80,30,0,1
80,35,0,1
80,40,0,1
80,45,0,1
80,50,0,1

# --- Ceiling (z=18) ---
0,0,18,1
0,5,18,1
0,10,18,1
0,15,18,1
0,20,18,1
0,25,18,1
0,30,18,1
0,35,18,1
0,40,18,1
0,45,18,1
0,50,18,1
5,0,18,1
5,5,18,1
5,10,18,1
5,15,18,1
5,20,18,1
5,25,18,1
5,30,18,1
5,35,18,1
5,40,18,1
5,45,18,1
5,50,18,1
10,0,18,1
10,5,18,1
10,10,18,1
10,15,18,1
10,20,18,1
10,25,18,1
10,30,18,1
10,35,18,1
10,40,18,1
10,45,18,1
10,50,18,1
15,0,18,1
15,5,18,1
15,10,18,1
15,15,18,1
15,20,18,1
15,25,18,1
15,30,18,1
15,35,18,1
15,40,18,1
15,45,18,1
15,50,18,1
20,0,18,1
20,5,18,1
20,10,18,1
20,15,18,1
20,20,18,1
20,25,18,1
20,30,18,1
20,35,18,1
20,40,18,1
20,45,18,1
20,50,18,1
25,0,18,1
25,5,18,1
25,10,18,1
25,15,18,1
25,20,18,1
25,25,18,1
25,30,18,1
25,35,18,1
25,40,18,1
25,45,18,1
25,50,18,1
30,0,18,1
30,5,18,1
30,10,18,1
