# map_input.txt — L-shaped building with complex boundary polygon.
# The footprint is an L-shape:
#   Bottom arm:  x=0..70, y=0..35
#   Left tower:  x=0..35, y=35..70
# The upper-right area (x=35..70, y=35..70) is outside the building.
# Height: 18 cm.
# Scenario: tests mapping with a non-rectangular boundary.
#
# Format: x,y,z,status  (status 1 = occupied)

# --- Floor — bottom arm ---
0,0,0,1
0,5,0,1
0,10,0,1
0,15,0,1
0,20,0,1
0,25,0,1
0,30,0,1
0,35,0,1
5,0,0,1
5,5,0,1
5,10,0,1
5,15,0,1
5,20,0,1
5,25,0,1
5,30,0,1
5,35,0,1
10,0,0,1
10,5,0,1
10,10,0,1
10,15,0,1
10,20,0,1
10,25,0,1
10,30,0,1
10,35,0,1
15,0,0,1
15,5,0,1
15,10,0,1
15,15,0,1
15,20,0,1
15,25,0,1
15,30,0,1
15,35,0,1
20,0,0,1
20,5,0,1
20,10,0,1
20,15,0,1
20,20,0,1
20,25,0,1
20,30,0,1
20,35,0,1
25,0,0,1
25,5,0,1
25,10,0,1
25,15,0,1
25,20,0,1
25,25,0,1
25,30,0,1
25,35,0,1
30,0,0,1
30,5,0,1
30,10,0,1
30,15,0,1
30,20,0,1
30,25,0,1
30,30,0,1
30,35,0,1
35,0,0,1
35,5,0,1
35,10,0,1
35,15,0,1
35,20,0,1
35,25,0,1
35,30,0,1
35,35,0,1
40,0,0,1
40,5,0,1
40,10,0,1
40,15,0,1
40,20,0,1
40,25,0,1
40,30,0,1
40,35,0,1
45,0,0,1
45,5,0,1
45,10,0,1
45,15,0,1
45,20,0,1
45,25,0,1
45,30,0,1
45,35,0,1
50,0,0,1
50,5,0,1
50,10,0,1
50,15,0,1
50,20,0,1
50,25,0,1
50,30,0,1
50,35,0,1
55,0,0,1
55,5,0,1
55,10,0,1
55,15,0,1
55,20,0,1
55,25,0,1
55,30,0,1
55,35,0,1
60,0,0,1
60,5,0,1
60,10,0,1
60,15,0,1
60,20,0,1
60,25,0,1
60,30,0,1
60,35,0,1
65,0,0,1
65,5,0,1
65,10,0,1
65,15,0,1
65,20,0,1
65,25,0,1
65,30,0,1
65,35,0,1
70,0,0,1
70,5,0,1
70,10,0,1
70,15,0,1
70,20,0,1
70,25,0,1
70,30,0,1
70,35,0,1

# --- Ceiling — bottom arm ---
0,0,18,1
0,5,18,1
0,10,18,1
0,15,18,1
0,20,18,1
0,25,18,1
0,30,18,1
0,35,18,1
5,0,18,1
5,5,18,1
5,10,18,1
5,15,18,1
5,20,18,1
5,25,18,1
5,30,18,1
5,35,18,1
10,0,18,1
10,5,18,1
10,10,18,1
10,15,18,1
10,20,18,1
10,25,18,1
10,30,18,1
10,35,18,1
15,0,18,1
15,5,18,1
15,10,18,1
15,15,18,1
15,20,18,1
15,25,18,1
15,30,18,1
15,35,18,1
20,0,18,1
20,5,18,1
20,10,18,1
20,15,18,1
20,20,18,1
20,25,18,1
20,30,18,1
20,35,18,1
25,0,18,1
25,5,18,1
25,10,18,1
25,15,18,1
25,20,18,1
25,25,18,1
25,30,18,1
25,35,18,1
30,0,18,1
30,5,18,1
30,10,18,1
30,15,18,1
30,20,18,1
30,25,18,1
30,30,18,1
30,35,18,1
35,0,18,1
35,5,18,1
35,10,18,1
35,15,18,1
35,20,18,1
35,25,18,1
35,30,18,1
35,35,18,1
40,0,18,1
40,5,18,1
40,10,18,1
40,15,18,1
40,20,18,1
40,25,18,1
40,30,18,1
40,35,18,1
45,0,18,1
45,5,18,1
45,10,18,1
45,15,18,1
45,20,18,1
45,25,18,1
45,30,18,1
45,35,18,1
50,0,18,1
50,5,18,1
50,10,18,1
50,15,18,1
50,20,18,1
50,25,18,1
50,30,18,1
50,35,18,1
55,0,18,1
55,5,18,1
55,10,18,1
55,15,18,1
55,20,18,1
55,25,18,1
55,30,18,1
55,35,18,1
60,0,18,1
60,5,18,1
60,10,18,1
60,15,18,1
60,20,18,1
60,25,18,1
60,30,18,1
60,35,18,1
65,0,18,1
65,5,18,1
65,10,18,1
65,15,18,1
65,20,18,1
65,25,18,1
65,30,18,1
65,35,18,1
70,0,18,1
70,5,18,1
70,10,18,1
70,15,18,1
70,20,18,1
70,25,18,1
70,30,18,1
70,35,18,1

# --- Floor — left tower ---
0,40,0,1
0,45,0,1
0,50,0,1
0,55,0,1
0,60,0,1
0,65,0,1
0,70,0,1
5,40,0,1
5,45,0,1
5,50,0,1
5,55,0,1
5,60,0,1
